Item,Description,ItemType,Required,Values,,,,,,,,,,,,,,,,,,,,,
clinical_id,clinical ID,string,required,,,,,,,,,,,,,,,,,,,,,,
visit_month,"month from baseline visit (longitudinal study. Negative value is possible for screening visits), rounded integer",integer,required,(y>=-1200) & (y<=1200),,,,,,,,,,,,,,,,,,,,,
age_at_baseline,age at baseline visit,numeric,required,(y>=0) & (y<=125),Can be derived from previously submitted sample manifests,,,,,,,,,,,,,,,,,,,,
age_of_onset,Age at onset (any symptom),numeric,required if age_at_diagnosis not available,(y>=0) & (y<=120),Can be derived from previously submitted sample manifests and supplemented by newly uploaded data,,,,,,,,,,,,,,,,,,,,
age_at_diagnosis,Age at diagnosis,numeric,required if age_at_onset not available,(y>=0) & (y<=120),Can be derived from previously submitted sample manifests and supplemented by newly uploaded data,,,,,,,,,,,,,,,,,,,,
merq_job_pesticides,"Over your lifetime, have you ever had a job in which you used any type of pesticide, including herbicides, fungicides, or fumigants?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",,,,,,,,,,,,,,,,,,,,,
merq_home_pesticides,"Over your lifetime, were you ever exposed to pesticides including herbicides, insecticides, fungicides, or fumigants used on your home, lawn, harden or on a pet?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",,,,,,,,,,,,,,,,,,,,,
merq_chemical_solvents,"Over your lifetime, have you ever worked with chemical solvents for more than 6 months?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",,,,,,,,,,,,,,,,,,,,,
merq_heavy_metals,"Over your lifetime, have you ever worked with heavy metals for more than 6 months?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",,,,,,,,,,,,,,,,,,,,,
merq_chemicals_other,"Over your lifetime, have you ever worked with any other chemicals or fumes for more than 6 months?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",,,,,,,,,,,,,,,,,,,,,
merq_caffeine,"Before you were diagnosed with PD, on average how many cups of a caffeine containing beverage (e.g. coffee, tea, soda) did you drink each day, during the times you were drinking caffeine-containing beverages?",numeric,nullable,(y>=0),,,,,,,,,,,,,,,,,,,,,
merq_caffeine_current,"At present, how many cups of a caffeine containing beverage do you drink on a typical day?",numeric,nullable,(y>=0),,,,,,,,,,,,,,,,,,,,,
merq_cigarettes,"Before you were diagnosed with PD, did you ever smoke cigarettes regularly, that is at least 1 cigarette per day for at least 6 months?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",,,,,,,,,,,,,,,,,,,,,
merq_cigarettes_years,For how many years did you smoke cigarettes regularly?,numeric,nullable,(y>=0),,,,,,,,,,,,,,,,,,,,,
merq_cigarettes_daily,"During the time that you smoked regularly, about how much did you smoke per day?",numeric,nullable,(y>=0),,,,,,,,,,,,,,,,,,,,,
merq_cigarettes_current,Do you smoke cigarettes regularly now?,string,nullable,"[""Yes"", ""No"", ""Uncertain""]",,,,,,,,,,,,,,,,,,,,,
merq_cigarettes_current_amount,How much do you smoke per day? (Cigarettes/day),numeric,nullable,(y>=0),,,,,,,,,,,,,,,,,,,,,
merq_smoker_home,"Before you were diagnosed with PD, did you live with a smoker?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",,,,,,,,,,,,,,,,,,,,,
merq_head_injury,"Before you were diagnosed with PD, did you ever have a head injury where you lost consciousness or were diagnosed with a concussion by a doctor?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",,,,,,,,,,,,,,,,,,,,,
merq_head_injury_year,In what year did the head injury occur?,numeric,nullable,(y>1920)&(y<2050),,,,,,,,,,,,,,,,,,,,,
merq_ovaries_surgery,"Before you were diagnosed with PD, did you ever have one or both ovaries surgically removed?",string,nullable,"[""Yes"", ""No"", ""Uncertain"", ""Not applicable""]",,,,,,,,,,,,,,,,,,,,,
merq_ovaries_surgery_year,In what year did the surgery occur?,numeric,nullable,(y>1920)&(y<2050),,,,,,,,,,,,,,,,,,,,,
merq_depression,"Before you were diagnosed with PD, were you ever diagnosed with depression?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",,,,,,,,,,,,,,,,,,,,,
merq_depression_dx_year,In what year?,numeric,nullable,(y>1920)&(y<2050),,,,,,,,,,,,,,,,,,,,,
merq_anxiety,"Before you were diagnosed with PD, were you ever diagnosed with anxiety?",string,nullable,"[""Yes"", ""No"", ""Uncertain""]",,,,,,,,,,,,,,,,,,,,,
merq_anxiety_dx_year,In what year?,numeric,nullable,(y>1920)&(y<2050),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
