Item,Description,ItemType,Required,Values,,,,,,,,,,,,,,,,,,,,,
clinical_id,clinical ID,string,required,,,,,,,,,,,,,,,,,,,,,,
visit_month,"month from baseline visit (longitudinal study. Negative value is possible for screening visits), rounded integer",integer,required,(y>=-1200) & (y<=1200),,,,,,,,,,,,,,,,,,,,,
age_at_baseline,age at baseline visit,numeric,required,(y>=0) & (y<=125),Can be derived from previously submitted sample manifests,,,,,,,,,,,,,,,,,,,,
age_of_onset,Age at onset (any symptom),numeric,required if age_at_diagnosis not available,(y>=0) & (y<=120),Can be derived from previously submitted sample manifests and supplemented by newly uploaded data,,,,,,,,,,,,,,,,,,,,
age_at_diagnosis,Age at diagnosis,numeric,required if age_at_onset not available,(y>=0) & (y<=120),Can be derived from previously submitted sample manifests and supplemented by newly uploaded data,,,,,,,,,,,,,,,,,,,,
pdrfuq_coffee,"In your lifetime, have you ever regularly drunk caffeinated coffee, that is, at least once per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,,,,,,,,,,,,,,,,,,,
pdrfuq_black_tea,"In your lifetime, have you ever regularly drunk hot or iced caffeinated black tea, that is, at least once per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,,,,,,,,,,,,,,,,,,,
pdrfuq_green_tea,"In your lifetime, have you ever regularly drunk caffeinated green tea, that is, at least once per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,,,,,,,,,,,,,,,,,,,
pdrfuq_caffeinated_soda,"In your lifetime, have you ever regularly drunk caffeinated soda, that is, at least once per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,,,,,,,,,,,,,,,,,,,
pdrfuq_concussion,"Have you ever had a head injury or concussion? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Possibly"", ""Don't Know"", ""Refused""]",,,,,,,,,,,,,,,,,,,,,
pdrfuq_ibuprofen,"Have you ever regularly taken ibuprofen-based non-aspirin medications, that is, at least two pills per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,,,,,,,,,,,,,,,,,,,
pdrfuq_aspirin,"Have you ever regularly taken aspirin, that is, at least two pills per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,,,,,,,,,,,,,,,,,,,
pdrfuq_other_anti_inflmmatory_med,"Have you ever regularly taken other anti-inflammatory medications for pain, inflammation, or swelling, that is, at least two pills per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,,,,,,,,,,,,,,,,,,,
pdrfuq_smoke_100,"In your lifetime, have you smoked 100 or more cigarettes (5 packs)? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,,,,,,,,,,,,,,,,,,,
pdrfuq_smoke_regularly,"In your lifetime, have you ever regularly smoked cigarettes,",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,,,,,,,,,,,,,,,,,,,
pdrfuq_smokeless_tabacco,"Have you ever used smokeless tobacco such as chewing tobacco or snuff regularly, that is, at least once per day for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,,,,,,,,,,,,,,,,,,,
pdrfuq_alcohol_100,"In your lifetime, have you drunk 100 or more alcoholic drinks (beer, wine, liquor, spirits)? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,,,,,,,,,,,,,,,,,,,
pdrfuq_alcohol_regularly,"In your lifetime, have you ever regularly drunk alcohol, that is, at least one drink per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,,,,,,,,,,,,,,,,,,,
